raw_row_number,date,time,location,lat,lng,district,subject_age,subject_race,subject_sex,officer_id_hash,department_name,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,search_conducted,search_vehicle,search_basis,reason_for_stop,raw_subject_race_code,raw_subject_ethnicity_code,raw_search_authorization_code,raw_intervention_disposition_code
1,2013-10-13,15:21:00,LINNMORE ST AT ROGER,41.732189399999996,-72.69976,SOUTH WEST,38,hispanic,female,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,W,H,N,I
2,2013-10-24,01:12:00,HAWTHORN STREET @ IMLAY STREET,41.76462069999999,-72.6953618,ASYLUM HILL,20,black,male,616e63d3fb,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Defective Lights,B,N,N,I
3,2013-10-26,10:06:00,NEW PARK MIRRILL,41.747837,-72.71293299999998,PARKVILLE,26,white,female,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Traffic Control Signal,W,N,N,I
4,2013-10-26,18:06:00,nfew park at merrill st,41.748069,-72.71264120000001,PARKVILLE,26,white,female,5ac7b58482,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Traffic Control Signal,W,N,N,I
5,2013-10-26,19:56:00,SUMMIT ST AT ZION ST,41.7539448,-72.69327799999998,FROG HOLLOW,39,white,male,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,W,N,N,I
7,2013-10-26,21:57:00,LAUREL ST AT CAPITOL AV,41.7625116,-72.69698559999998,ASYLUM HILL,51,hispanic,male,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Traffic Control Signal,W,H,N,I
6,2013-10-26,22:08:00,RUSS ST AT PUTNAM S T,41.761621999999996,-72.69043789999998,FROG HOLLOW,34,white,male,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,W,N,N,I
8,2013-10-29,13:18:00,FLATBUSH AV AT HILLSIDE,41.744308600000004,-72.698287,BEHIND THE ROCKS,24,hispanic,male,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Moving Violation,W,H,N,I
9,2013-10-29,13:50:00,HUDSON ST @ JEFFERSON,41.7554045,-72.67910309999998,SOUTH GREEN,37,white,female,172bfdfefb,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Cell Phone,W,N,N,I
10,2013-10-30,11:57:00,BROAD AT MADISON,41.75443569999999,-72.68708389999998,FROG HOLLOW,42,black,female,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,B,N,N,I
11,2013-10-31,20:47:00,SOUTH AT MAPLE ST,41.7330466,-72.68789180000002,SOUTH END,49,hispanic,male,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Traffic Control Signal,W,H,N,I
27,2013-11-01,08:01:00,50 albany av,41.774601200000006,-72.67787129999998,CLAY-ARSENAL,38,black,female,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Suspended License,B,N,N,M
28,2013-11-01,08:29:00,windsor st / trumbull st,41.7867811,-72.67021299999998,CLAY-ARSENAL,31,hispanic,female,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Suspended License,W,H,N,M
21,2013-11-01,09:34:00,391 albany av,41.77697730000001,-72.68336219999998,CLAY-ARSENAL,28,black,male,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Other,B,N,N,M
14,2013-11-01,10:13:00,70 spring st,41.7695119,-72.6833675,ASYLUM HILL,57,black,female,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Registration,B,N,N,I
18,2013-11-01,10:16:00,190 farmington av,41.768119299999995,-72.6941078,ASYLUM HILL,33,hispanic,male,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Suspended License,W,H,N,M
